qid,cmid
Q361,AM28947
Q362,AM28948
Q2269,AM26229
Q5324,AM26834
Q5743,AM27863
Q7183,AM25008
Q7209,AM25010
Q7313,AM42526
Q7319,AM42974
Q8683,AM28806
Q8698,AM26180
Q8733,AM25046
Q8950,AM42996
Q8951,AM42997
Q9683,AM25025
Q9903,AM25042
Q11756,AM43088
Q11764,AM27621
Q12544,AM24529
Q12554,AM23113
Q16410,AM42627
Q27837,AM42616
Q31389,AM42635
Q35216,AM24725
Q35560,AM42725
Q36422,AM23291
Q37853,AM42774
Q40203,AM23287
Q41493,AM42899
Q44155,AM23047
Q47855,AM43010
Q49696,AM24751
Q51122,AM27250
Q51644,AM43103
Q52824,AM26688
Q55525,AM42925
Q58202,AM26302
Q69461,AM43079
Q69829,AM42964
Q74049,AM42617
Q74740,AM43086
Q83311,AM23269
Q94080,AM28245
Q116123,AM42834
Q126416,AM42838
Q128938,AM25004
Q129167,AM23887
Q130253,AM23292
Q131192,AM23768
Q131808,AM42865
Q137816,AM42609
Q140654,AM23996
Q152855,AM42625
Q154611,AM25670
Q159879,AM42671
Q165292,AM42546
Q173843,AM42560
Q174450,AM43027
Q175447,AM23906
Q177819,AM23251
Q180568,AM25877
Q182688,AM24450
Q184716,AM42678
Q184963,AM27485
Q185043,AM25012
Q185047,AM25006
Q185063,AM24963
Q185852,AM28816
Q186075,AM24374
Q186513,AM43093
Q187979,AM25850
Q189178,AM27540
Q190882,AM42769
Q191324,AM25873
Q193292,AM27541
Q193547,AM26295
Q193748,AM43102
Q201038,AM27749
Q201705,AM42873
Q202390,AM42874
Q202763,AM24443
Q204023,AM27555
Q206414,AM43024
Q207272,AM42876
Q207858,AM27290
Q210542,AM42582
Q210688,AM26738
Q212685,AM27964
Q212976,AM28790
Q213649,AM27963
Q215262,AM23003
Q217050,AM23679
Q217200,AM42603
Q232211,AM25866
Q233225,AM42878
Q233263,AM42908
Q233486,AM43084
Q234510,AM27536
Q236205,AM27548
Q238399,AM43096
Q238809,AM28590
Q242115,AM25030
Q245156,AM27117
Q245813,AM11443
Q264012,AM26757
Q269237,AM42633
Q271834,AM26644
Q304121,AM42634
Q307066,AM24961
Q319460,AM24817
Q319531,AM27528
Q327567,AM27566
Q329174,AM27522
Q329838,AM23887
Q334845,AM42533
Q338466,AM25914
Q342587,AM42723
Q355862,AM42726
Q362291,AM353949
Q373860,AM27297
Q388483,AM42731
Q389688,AM23269
Q391189,AM42892
Q391511,AM42893
Q419594,AM23282
Q428101,AM23278
Q428995,AM42540
Q455151,AM42775
Q459939,AM26750
Q466803,AM42739
Q466887,AM42740
Q470867,AM43013
Q472670,AM42742
Q474124,AM42557
Q474757,AM42743
Q479505,AM43135
Q482705,AM42751
Q486761,AM42541
Q487687,AM42752
Q488521,AM42753
Q488889,AM42754
Q491559,AM42755
Q491776,AM42756
Q497163,AM42757
Q498819,AM26015
Q506023,AM42912
Q531510,AM42571
Q537340,AM42919
Q542291,AM42595
Q575630,AM23069
Q582948,AM42934
Q605601,AM43364
Q610028,AM42944
Q614082,AM23964
Q621421,AM42949
Q626270,AM23045
Q626361,AM27711
Q632376,AM24591
Q633881,AM42567
Q661566,AM42955
Q667737,AM23784
Q683551,AM24973
Q693549,AM23720
Q694519,AM42961
Q695827,AM42962
Q698268,AM42963
Q699446,AM28692
Q702639,AM42965
Q703919,AM42966
