qid,cmid
Q35,SM455317
Q55,SM455353
Q227,SM455306
Q347,SM455344
Q664,SM455354
Q748,SM252512
Q837,SM455352
Q869,SM455379
Q889,SM8284
Q924,SM257920
Q1026,SM256913
Q1032,SM450359
Q4320,SM496026
Q5043,SM252881
Q5175,SM496664
Q5406,SM486136
Q6605,SM257268
Q7325,SM8856
Q7330,SM306070
Q8060,SM257180
Q9232,SM254094
Q9436,SM254096
Q10090,SM253897
Q11772,SM8038
Q12223,SM255070
Q12489,SM8616
Q12542,SM251824
Q13201,SM8299
Q13685,SM257588
Q14452,SM253285
Q15763,SM451139
Q15863,SM257667
Q17161,SM492764
Q18973,SM253540
Q19012,SM492756
Q19109,SM255894
Q20537,SM253546
Q20826,SM252165
Q20828,SM252782
Q22633,SM480044
Q23693,SM487213
Q24623,SM251881
Q25068,SM7568
Q26235,SM252656
Q26264,SM496778
Q26291,SM251422
Q26404,SM492058
Q26576,SM480377
Q26774,SM257573
Q26862,SM253809
Q27106,SM254062
Q27877,SM252953
Q28573,SM251606
Q30967,SM254713
Q31230,SM252760
Q31415,SM496887
Q32017,SM8142
Q32078,SM256117
Q32706,SM250216
Q32739,SM495484
Q32768,SM486450
Q32799,SM495679
Q32897,SM258044
Q33543,SM255906
Q33938,SM250994
Q34069,SM251733
Q34188,SM258489
Q34283,SM258762
Q34344,SM258775
Q35269,SM254170
Q35323,SM8796
Q35533,SM254295
Q35565,SM257947
Q35585,SM250685
Q35966,SM480030
Q36056,SM250530
Q36411,SM252946
Q36550,SM257857
Q36692,SM258800
Q36747,SM496844
Q36754,SM257192
Q36978,SM454382
Q37014,SM258771
Q37556,SM258428
Q38915,SM256916
Q39615,SM494140
Q41477,SM250128
Q41975,SM255884
Q42193,SM480409
Q42211,SM492762
Q42740,SM8248
Q42884,SM250881
Q43482,SM480388
Q44390,SM492493
Q44614,SM486518
Q44806,SM258273
Q44949,SM255829
Q45009,SM256978
Q45162,SM255672
Q45232,SM495931
Q45315,SM250739
Q45813,SM480440
Q45843,SM496894
Q45914,SM8857
Q46118,SM258265
Q46429,SM253703
Q46531,SM461491
Q46713,SM257642
Q46826,SM251480
Q47140,SM252458
Q47246,SM253336
Q47805,SM480323
Q48199,SM255194
Q48287,SM487391
Q48343,SM495209
Q48616,SM487237
Q48885,SM250468
Q49078,SM258324
Q49085,SM258316
Q49209,SM254163
Q49291,SM493203
Q49297,SM258318
Q49299,SM493554
Q49303,SM251392
Q49305,SM251488
Q49306,SM251655
Q49307,SM495703
Q49309,SM495704
Q49540,SM255206
Q49542,SM257211
Q50001,SM254074
Q51669,SM251605
Q51705,SM252966
Q51710,SM496729
Q51716,SM480430
Q51782,SM252577
Q52974,SM493848
